category,name,price,original_price,stock_status,url
Motherboard,ASRock Z890 Pro RS WiFi LGA1851 ATX Motherboard,26000.0,45000.0,In Stock,https://www.pcstudio.in/product/asrock-z890-pro-rs-wifi-lga1851-atx-motherboard/
Motherboard,ASRock Z890 Steel Legend WiFi LGA1851 ATX Motherboard (Z890-STEEL-LEGEND-WIFI),30050.0,45000.0,In Stock,https://www.pcstudio.in/product/asrock-z890-steel-legend-wifi-lga1851-atx-motherboard/
Motherboard,ASRock Z890 Taichi Lite WiFi LGA1851 ATX Motherboard (Z890-TAICHI-LITE),44500.0,60000.0,In Stock,https://www.pcstudio.in/product/asrock-z890-taichi-lite-wifi-lga1851-atx-motherboard/
Motherboard,Asus B650M-AYW WiFi AM5 M-Atx Motherboard (B650M-AYW-WIFI),10450.0,18000.0,In Stock,https://www.pcstudio.in/product/asus-b650m-ayw-wifi-am5-m-atx-motherboard/
Motherboard,Asus B760M-Ayw Wifi Lga1700 Micro Atx Motherboard (B760M-AYW WIFI),11150.0,19000.0,In Stock,https://www.pcstudio.in/product/asus-b760m-ayw-wifi-lga1700-micro-atx-motherboard/
Motherboard,Asus B860M Ayw Gaming WiFi LGA1851 Micro-ATX Motherboard,15770.0,21000.0,In Stock,https://www.pcstudio.in/product/asus-b860m-ayw-gaming-wifi-lga1851-micro-atx-motherboard/
Motherboard,Asus EX-B650M-V7 Am5 Micro Atx Motherboard (EX-B650M-V7),9500.0,15000.0,In Stock,https://www.pcstudio.in/product/asus-ex-b650m-v7-am5-micro-atx-motherboard/
Motherboard,Asus Ex-B760M V5 Lga1700 Micro Atx Motherboard (EX-B760M-V5),11650.0,20000.0,In Stock,https://www.pcstudio.in/product/asus-ex-b760m-v5-lga1700-micro-atx-motherboard/
Motherboard,Asus K14PA-U12 CEB Server Motherboard (K14PA-U12),73000.0,111600.0,In Stock,https://www.pcstudio.in/product/asus-k14pa-u12-ceb-server-motherboard/
Motherboard,Asus Prime A620M-A Am5 Micro Atx Motherboard (PRIME-A620M-A),12200.0,16000.0,In Stock,https://www.pcstudio.in/product/asus-prime-a620m-a-am5-micro-atx-motherboard/
Motherboard,Asus Prime B550M-K Argb AM4 Micro Atx Motherboard (PRIME-B550M-K-ARGB),9500.0,15000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b550m-k-argb-am4-micro-atx-motherboard/
Motherboard,Asus Prime B550M-K Motherboard,10900.0,12000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b550m-k-motherboard/
Motherboard,Asus Prime B650EM-A WIFI-CSM M-ATX Motherboard (PRIME-B650EM-A-WIFI-CSM),15250.0,19000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b650em-a-wifi-csm-m-atx-motherboard/
Motherboard,Asus Prime B650M-A II Motherboard(PRIME-B650M-A-II),12750.0,18100.0,In Stock,https://www.pcstudio.in/product/asus-prime-b650-m-a-ll-motherboard/
Motherboard,Asus Prime B650M-A II-CSM Am5 Micro Atx Motherboard (PRIME-B650M-A-II-CSM),10920.0,25000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b650m-a-ii-csm-am5-micro-atx-motherboard/
Motherboard,Asus Prime B650M-A Wifi II Am5 Micro Atx Motherboard (PRIME-B650M-A-WIFI-II),15600.0,23000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b650m-a-wifi-ii-am5-micro-atx-motherboard/
Motherboard,Asus Prime B650M-R Am5 Micro Atx Motherboard (PRIME B650M-R),9400.0,18000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b650m-r-am5-micro-atx-motherboard/
Motherboard,Asus Prime B760M-A Lga1700 Micro Atx Motherboard (PRIME B760M-A),13400.0,19799.0,In Stock,https://www.pcstudio.in/product/asus-prime-b760m-a-lga1700-micro-atx-motherboard/
Motherboard,Asus Prime B760M-A Wifi Lga1700 M-Atx Motherboard (PRIME-B760M-A-WIFI),15450.0,22300.0,In Stock,https://www.pcstudio.in/product/asus-prime-b760m-a-wifi-lga1700-m-atx-motherboard/
Motherboard,Asus Prime B760M-A WiFi-Csm LGA1700 M-Atx Motherboard (PRIME-B760M-A-WIFI-CSM),15420.0,26800.0,In Stock,https://www.pcstudio.in/product/asus-prime-b760m-a-wifi-csm-lga1700-m-atx-motherboard/
Motherboard,Asus Prime B760M-A-CSM Lga1700 Micro Atx Motherboard (PRIME-B760M-A-CSM),13900.0,24000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b760m-a-csm-lga1700-micro-atx-motherboard/
Motherboard,Asus Prime B760M-F WIFI M-ATX Motherboard (PRIME-B760M-F-WIFI),11675.0,26000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b760m-f-wifi-m-atx-motherboard/
Motherboard,Asus Prime B760M-K Ddr5 Lga1700 Micro Atx Motherboard (PRIME-B760M-K),10240.0,14745.0,In Stock,https://www.pcstudio.in/product/asus-prime-b760m-k-ddr5-lga1700-micro-atx-motherboard/
Motherboard,Asus Prime B840-Plus WiFi-CSM AM5 ATX Motherboard,21430.0,26000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b840-plus-wifi-csm-am5-atx-motherboard/
Motherboard,Asus Prime B840M-A WiFi-CSM AM5 Micro-ATX Motherboard,18700.0,25000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b840m-a-wifi-csm-am5-micro-atx-motherboard/
Motherboard,Asus Prime B840M-A-CSM AM5 Micro-ATX Motherboard,17850.0,22000.0,In Stock,https://www.pcstudio.in/product/asus-prime-b840m-a-csm-am5-micro-atx-motherboard/
